iata,country_code,region_name,icao,airport,latitude,longitude
AGS,US,Georgia,KAGS,Augusta Regional Airport at Bush Field,33.3699,-81.9645
AZO,US,Michigan,KAZO,Kalamazoo/Battle Creek International Airport,42.2349,-85.5521
BIL,US,Montana,KBIL,Billings Logan International Airport,45.8077,-108.543
CPR,US,Wyoming,KCPR,Casper-Natrona County International Airport,42.908,-106.464
CRP,US,Texas,KCRP,Corpus Christi International Airport,27.7704,-97.5012
ILM,US,North Carolina,KILM,Wilmington International Airport,34.2706,-77.9026
KTN,US,Alaska,PAKT,Ketchikan International Airport,55.3556,-131.714
MBS,US,Michigan,KMBS,MBS International Airport,43.5329,-84.0796
PFN,,,,,,
PSE,PR,Ponce,TJPS,Mercedita Airport,18.0083,-66.563
TRI,US,Tennessee,KTRI,Tri-Cities Regional Airport,36.4752,-82.4074
ACK,US,Massachusetts,KACK,Nantucket Memorial Airport,41.2531,-70.0602
AEX,US,Louisiana,KAEX,Alexandria International Airport,31.3274,-92.5498
BQN,US,Massachusetts,TJBQ,Rafael Hernandez Airport,18.4949,-67.1294
DRO,US,Colorado,KDRO,Durango-La Plata County Airport,37.1515,-107.754
FSM,US,Arkansas,KFSM,Fort Smith Regional Airport,35.3366,-94.3674
GCC,US,Wyoming,KGCC,Gillette-Campbell County Airport,44.3489,-105.539
